Article title;Author(s);Journal;Issue;Citations (WoS);CrossRef;Scopus;IUCr;Altmetric;Views;Category;Topic;Access;Keywords;Review scores
Dynamical effects in the integrated X-ray scattering intensity from imperfect crystals in Bragg diffraction geometry. I. Semi-dynamical model;V. B. Molodkin, S. I. Olikhovskii, S. V. Dmitriev, A. I. Nizkova and V. V. Lizunov;A;January 2020;0;1;0;0;2;369;fa;;;"dynamical X-ray diffraction theory; diffuse scattering; Bragg diffraction geometry; Coulomb-type defects; Borrmann effect; extinction";1.0 (1)
Elastic propagation of fast electron vortices through amorphous materials;S. Löffler, S. Sack and T. Schachinger;A;November 2019;0;0;0;0;1;1080;fa;;Open;"electron vortex beams; amorphous materials; elastic scattering";3.5 (4,3)
Relativistic correction of atomic scattering factors for high-energy electron diffraction;M. Lentzen;A;November 2019;0;0;0;0;1;1369;fa;;Open;"electron diffraction; atomic scattering factors; relativity theory; Schrödinger equation";3.0 (3)
Distinguishing space groups by electron channelling: centrosymmetric full-Heusler or non-centrosymmetric half-Heusler?;V. Hansen, A. Kosinskiy and J. Taftø;A;March 2020;0;0;0;0;2;928;sc;;Open;"space groups; inversion symmetry; electron channelling; X-ray emission; Heusler crystals";3.0 (4,2)
Electron image contrast analysis of mosaicity in rutile nanocrystals using direct electron detection;A. Yoon, Y.-T. Shao, J. Howe and J.-M. Zuo;A;November 2020;0;0;0;0;4;314;fa;;;"rutile nanocrystals; mosaicity; quantitative HREM; Stobbs factor";4.0 (4)
Fast analytical evaluation of intermolecular electrostatic interaction energies using the pseudoatom representation of the electron density. III. Application to crystal structures via the Ewald and direct summation methods;D. Nguyen, P. Macchi and A. Volkov;A;November 2020;0;0;0;0;2;163;fa;;;"electrostatic interaction energy; charge density; pseudoatom model; Löwdin α-function; multipole expansion; Ewald summation; lattice sums";4.0 (4)
The revival of the Bravais lattice;H. D. Flack;A;March 2015;0;1;0;0;1;4538;ss;scientific commentaries;Free;"Bravais lattices; phase transformations; cell reduction; crystallographic nomenclature";
Accessible atomic structures from sub-micron protein crystals;J. A. Rodriguez;A;July 2015;0;0;0;0;1;4393;ss;;Free;"MicroED; nanocrystals; electron diffraction";
Cryo-coherent diffractive imaging of biological samples with X-ray free-electron lasers;H. Jiang;A;March 2016;0;0;0;0;0;3038;ss;;Free;"X-ray free-electron lasers; cryo-coherent diffractive imaging; CDI; XFELs; biological specimens";
Simple graphs that guide combinatorial materials design;P. M. Duxbury;A;May 2016;0;0;0;0;1;3250;ss;;Free;"quotient graphs; reticular chemistry; crystal topology; materials design";
Introducing the holo-TIE approach to cellular imaging;I. Robinson;A;July 2017;0;0;0;0;1;2071;ss;;Free;"X-ray tomography; coherent diffraction imaging; biological imaging; contrast-transfer function";
Bounding the regularity radius for regular crystals;D. Frettloeh;A;January 2019;0;0;0;0;2;734;ss;;;"Delone sets; regularity radius; crystallinity; Engel sets";
Isotopy classification of three-dimensional embedded nets;E. Schulte;A;May 2020;0;0;0;0;1;643;ss;;;"embedded nets; isotopy classification; topology";
Quaternions: what are they, and why do we need to know?;B. K. P. Horn;A;September 2020;0;0;1;0;3;1269;ss;;Free;"quaternions; data alignment; rotation; orientation; orthogonal Procrustes problem; orientation distribution function; ODF";
Nothing trumps good data;A. A. Pinkerton;A;March 2021;0;0;0;0;1;152;ss;;Free;"electron density; data quality; charge density; powder diffraction; MYTHEN detector";
Vertex collisions in 3-periodic nets of genus 4;M. Moreira de Oliveira Jr, G. M. L. Andrade, E. R. da Silva and J.-G. Eon;A;September 2018;0;1;0;0;2;108;fa;;;"periodic nets; labelled quotient graphs; vertex collisions";3.5 (4,3)
Quasicrystal-related mosaics with periodic lattices interlaid with aperiodic tiles;Z. He, Y. Shen, H. Ma, J. Sun, X. Ma, H. Li and W. Steurer;A;March 2020;0;0;0;0;2;467;fa;;;"quasicrystals; HAADF-STEM; mosaics; aperiodic tiling; TEM";3.5 (4,3)
HgH2 meets relativistic quantum crystallography. How to teach relativity to a non-relativistic wavefunction;M. Podhorský, L. Bučinský, D. Jayatilaka and S. Grabowsky;A;January 2021;0;1;0;0;1;94;fa;;;"quantum crystallography; X-ray constrained wavefunction; relativistic effects; scaling; charge density";3.5 (4,3)
Spin-resolved atomic orbital model refinement for combined charge and spin density analysis: application to the YTiO3 perovskite;I. Kibalin, A. B. Voufack, M. Souhassou, B. Gillon, J.-M. Gillet, N. Claiser, A. Gukasov, F. Porcher and C. Lecomte;A;March 2021;0;0;0;0;1;85;fa;;;"atomic orbital model; two-center term; polarized neutron diffraction; X-ray diffraction; perovskite; spin density; charge density";4.7 (5,5,4)
The maximum surface area polyhedron with five vertices inscribed in the sphere {\bb S}^{2};J. Donahue, S. Hoehner and B. Li;A;January 2021;0;0;0;0;1;63;fa;;;"polyhedra; surface area; triangular bipyramids; optimization; inequalities";3.0 (3,3,3)
Coordination sequences of crystals are of quasi-polynomial type;Y. Nakamura, R. Sakamoto, T. Mase and J. Nakagawa;A;March 2021;0;0;0;0;1;55;fa;;;"coordination sequences; graph theory; Hilbert polynomial; monoid theory";5.0 (5,5)
Arithmetic proof of the multiplicity-weighted Euler characteristic for symmetrically arranged space-filling polyhedra;B. Naskręcki, Z. Dauter and M. Jaskolski;A;March 2021;0;0;0;0;1;145;fa;;Open;"Euler's formula; multiplicity-weighted Euler characteristic; space-filling polyhedra; polytopes; asymmetric unit; Dirichlet domains";2.5 (3,2)
Multipole electron densities and structural parameters from synchrotron powder X-ray diffraction data obtained with a MYTHEN detector system (OHGI);B. Svane, K. Tolborg, K. Kato and B. B. Iversen;A;March 2021;0;0;0;0;;293;fa;;Open;"electron density; structural parameters; powder diffraction; molecular crystals; synchrotron radiation";5.0 (5,5,5)
An alternative method for the calculation of joint probability distributions. Application to the expectation of the triplet invariant;J. Brosius;A;January 2015;0;0;0;0;1;323;fa;;;"functional integration; direct methods; phase determination";
Volumic omit maps in ab initio dual-space phasing;G. Oszlányi and A. Sütő;A;July 2016;0;0;0;0;1;153;fa;;;"omit maps; iterative projection algorithms; dual-space methods; structure determination";2.5 (3,2)
Phasing via pure crystallographic least squares: an unexpected feature;M. C. Burla, B. Carrozzini, G. L. Cascarano, C. Giacovazzo and G. Polidori;A;March 2018;0;0;0;0;2;256;fa;;;"phasing; least squares; small molecules";2.5 (3,2)
The phase problem for two-dimensional crystals. II. Simulations;R. D. Arnal, Y. Zhao, A. K. Mitra, J. C. H. Spence and R. P. Millane;A;September 2018;0;0;1;0;2;185;fa;;;"phase problem; phase retrieval; two-dimensional crystals; XFELs; ab initio phasing; iterative projection algorithms; membrane proteins";4.5 (5,4)
Incorporating particle symmetry into orientation determination in single-particle imaging;M. Tegze and G. Bortel;A;September 2018;0;0;0;0;2;177;fa;;;"single-particle imaging; coherent diffraction imaging; X-ray free-electron lasers; orientation; correlation maximization; symmetric particles; intensity distribution";3.0 (3)
A tenfold twin of the CrB structure type;W. Hornfeck;A;November 2018;0;0;0;0;3;250;fa;;;"twinning; spiral growth; intermetallics; decagonal symmetry; aperiodic crystals";3.0 (3)
Crystal symmetry aspects of materials with magnetic spin reorientation;R. Przeniosło, P. Fabrykiewicz and I. Sosnowska;A;November 2018;0;0;0;0;2;326;fa;;;"spin reorientation; magnetic ordering; magnetic space groups; symmetry; neutron diffraction; X-ray diffraction; Pr3Ru4Al12; Mn2S3; TbCo3B2; α-Fe2O3; haematite";3.0 (3,3)
Mathematical aspects of molecular replacement. V. Isolating feasible regions in motion spaces;B. Shiffman, S. Lyu and G. S. Chirikjian;A;March 2020;0;0;0;0;2;188;fa;;;"molecular replacement; crystallographic symmetry; coset space; crystal topology; Minkowski sum; protein crystals; Laue groups; Euclidean normalizers; molecular coordination number; fundamental domain";3.0 (3)
Verification of the de Wolff hypothesis concerning the symmetry of β-MnO2;P. Fabrykiewicz, R. Przenioslo, I. Sosnowska, F. Fauth and D. Oleszak;A;November 2019;0;1;0;0;1;200;fa;;;"β-MnO2; MnF2; magnetic ordering; magnetic space groups; symmetry; neutron diffraction; X-ray diffraction; modulated magnetic structures; pyrolusite; superspace groups";2.0 (3,1)
Macromolecular phasing using diffraction from multiple crystal forms;M. Metz, R. D. Arnal, W. Brehm, H. N. Chapman, A. J. Morgan and R. P. Millane;A;January 2021;0;0;0;0;1;610;fa;;Open;"multiple crystal forms; ab initio phasing; iterative projection algorithms; X-ray free-electron lasers; XFELs";2.5 (3,2)
Multiplicity-weighted Euler's formula for symmetrically arranged space-filling polyhedra;Z. Dauter and M. Jaskolski;A;September 2020;0;0;0;0;2;669;fa;;Open;"asymmetric unit; unit cell; Euler's formula; space-filling polyhedra; Dirichlet domains";2.5 (4,1)
B7 as a supergroup of crystal and quasicrystal symmetries;K. Stróż;A;March 2017;0;0;0;0;1;175;fa;;;"crystal symmetry; quasicrystal symmetry; supergroups; projection; extended bases";3.5 (4,3)
Intensive X-ray standing-wave-like fields localized near a surface of a crystalline superlattice;I. R. Prudnikov;A;September 2018;0;0;0;0;2;99;sc;;;"X-ray diffraction; superlattice; localized standing wave";3.5 (4,3)
Monoclinic sphere packings. III. Trivariant lattice complexes of P2/c and P21/c;H. Sowa;A;March 2019;0;0;0;0;2;178;fa;;;"sphere packings; monoclinic crystal system; trivariant lattice complexes";3.0 (3,3)
Dependence of X-ray asymmetrical Bragg case plane-wave rocking curves on the deviation from exact Bragg orientation in and perpendicular to the diffraction plane;M. K. Balyan;A;May 2019;0;0;0;0;1;111;fa;;;"dynamical diffraction; Bragg case diffraction; deviation angle; X-ray rocking curves";3.0 (3)
X-ray diffraction in superabsorbing crystals: absorption intrinsic width;A. N. C. Lima, M. A. R. Miranda and J. M. Sasaki;A;September 2019;0;0;0;0;2;135;fa;;;"soft X-ray diffraction; superabsorbing crystals; absorption intrinsic width; peak profile";3.5 (4,3)
Theoretical study of the properties of X-ray diffraction moiré fringes. III. Theoretical simulation of previous experimental moiré images;J. Yoshimura;A;July 2020;0;0;0;0;1;448;fa;;Open;"X-ray moiré fringes; strained crystals; low-contrast band pattern; peculiar experimental fringe profiles";3.0 (3)
Phase of Pendellösung oscillations in X-ray dynamical diffraction for perfect crystals;T. Saka;A;March 2020;0;0;0;0;2;262;fa;;;"X-ray diffraction; dynamical theory; Pendellösung oscillations; phase; Laue case";3.5 (4,3)
Spherical-wave X-ray dynamical diffraction Talbot effect inside a crystal;M. K. Balyan, L. V. Levonyan and K. G. Trouni;A;July 2020;0;0;0;0;1;136;fa;;;"spherical-wave Talbot effect; dynamical diffraction; X-rays; crystals";3.0 (3)
Domain formation and phase transitions in the wurtzite-based heterovalent ternaries: a Landau theory analysis;P. C. Quayle;A;May 2020;0;0;0;0;1;109;fa;;;"Landau theory; phase transitions; antiferroelectrics; crystalline disorder properties; heterovalent ternary semiconductors";4.0 (5,3)
Spiral tetrahedral packing in the β-Mn crystal as symmetry realization of the 8D E8 lattice;A. Talis, A. Everstov and V. Kraposhin;A;January 2021;0;0;0;0;1;137;fa;;;"β-Mn crystal; tetrahedral tiling; non-crystallographic symmetry; 4D {3, 3, 5} polytope; 8D E8 lattice";3.0 (4,2)
Pure discrete spectrum and regular model sets in d-dimensional unimodular substitution tilings;D.-I. Lee, S. Akiyama and J.-Y. Lee;A;September 2020;0;0;0;0;1;275;fa;;;"Pisot family substitution tilings; pure discrete spectrum; regular model sets; Meyer sets; rigidity";3.5 (4,3)
Similarity isometries of point packings;J. C. H. Arias and M. J. C. Loquias;A;November 2020;0;0;0;0;1;72;fa;;;"similarity isometries; similar sublattices; point packings; hexagonal packings";2.5 (3,2)
Embedding parallelohedra into primitive cubic networks and structural automata description;M. M. Bouniaev and S. V. Krivovichev;A;November 2020;0;0;0;1;1;53;fa;;;"parallelohedra; crystalline structures; primitive cubic nets; deterministic finite automata; structural automata";2.0 (2)
Isogonal weavings on the sphere: knots, links, polycatenanes;M. O'Keeffe and M. M. J. Treacy;A;September 2020;0;0;0;0;3;134;fa;;;"weaves; knots; links; catenanes";4.0 (4,4)
Isogonal piecewise linear embeddings of 1-periodic weaves and some related structures;M. O'Keeffe and M. M. J. Treacy;A;March 2021;0;0;0;0;1;54;fa;;;"1-periodic structures; weaves; links; polycatenanes; chains";2.5 (3,2)
Gummelt versus Lück decagon covering and beyond. Implications for decagonal quasicrystals;W. Steurer;A;January 2021;0;0;0;0;2;117;fa;;;"Quasi-unit cells; Gummelt decagons; Lück decagons";3.5 (4,3)
Reduction of small-angle scattering profiles to finite sets of structural invariants;J. Houdayer and F. Poitevin;A;July 2017;0;0;0;0;1;294;fa;;;"small-angle scattering; structural invariants; data reduction";3.5 (5,2)
Normally supportive sublattices of crystallographic space groups;M. A. Clemens, B. J. Campbell and S. P. Humphries;A;January 2020;0;0;0;0;3;429;fa;;;"space-group symmetry; normal subgroups; crystallographic sublattices";3.0 (3,3)
Texture corrections for total scattering functions;A. Cervellino and R. Frison;A;May 2020;0;0;0;0;4;532;fa;;;"Debye scattering equation; texture; pair distribution function";4.5 (5,4)
X-ray scattering study of water confined in bioactive glasses: experimental and simulated pair distribution function;H. Khoder, D. Schaniel, S. Pillet and E.-E. Bendeif;A;September 2020;0;1;1;0;2;192;fa;;;"confined water; bioactive glasses; structural analysis; pair distribution function";4.0 (4,4)
Specular reflection intensity modulated by grazing-incidence diffraction in a wide angular range;K. V. Nikolaev, I. A. Makhotkin, S. N. Yakunin, R. W. E. Kruijs, M. A. Chuev and F. Bijkerk;A;September 2018;0;0;0;0;1;1881;fa;;Open;"crystal surface; grazing-incidence X-ray diffraction; GID; specular reflection; azimuthal rocking curves";2.0 (3,2,1)
Absorption and secondary scattering of X-rays with an off-axis small beam for a cylindrical sample geometry;D. C. Van Hoesen, J. C. Bendert and K. F. Kelton;A;March 2019;0;0;0;0;2;144;fa;;;"X-ray scattering; cylindrical geometry; absorption; multiple scattering";3.5 (4,3)
Anomalous X-ray diffraction from ω nanoparticles in β-Ti(Mo) single crystals;J. Šmilauerová, P. Harcuba, M. Cieslar, M. Janeček and V. Holý;A;September 2019;0;1;1;0;2;175;fa;;;"anomalous X-ray diffraction; metastable β-Ti alloys; diffuse scattering; ω phase";4.0 (4,4)
Direct recovery of interfacial topography from coherent X-ray reflectivity: model calculations for a 1D interface;P. Fenter;A;July 2020;0;0;0;0;1;140;fa;;;"coherent reflectivity; surface topography; phase problem";3.5 (4,3)
An efficient method for indexing grazing-incidence X-ray diffraction data of epitaxially grown thin films;J. Simbrunner, B. Schrode, J. Domke, T. Fritz, I. Salzmann and R. Resel;A;May 2020;0;1;1;0;2;857;fa;;Open;"epitaxy; indexing; mathematical crystallography";3.0 (3,3)
